id;date_debut;date_fin;nombre_equipe_max;nombre_equipe;statut;valid;version
1;2020-05-09T09:40:10;2020-05-09T03:37:47;33848;13944;COMPLET;true;92729
2;2020-05-09T00:52:38;2020-05-09T20:47:03;30198;55487;ENCOURS;true;18334
3;2020-05-09T18:21:41;2020-05-09T15:07:22;55008;48625;CLOTURE;false;27011
4;2020-05-09T16:10:00;2020-05-09T07:32:53;52917;69927;ENCOURS;true;77663
5;2020-05-09T03:32:34;2020-05-08T22:37:02;10939;80218;ENATTENTE;true;89980
6;2020-05-09T10:28:02;2020-05-08T22:51:19;92990;47595;ENCOURS;false;28082
7;2020-05-09T05:18:19;2020-05-09T05:28:28;79011;76464;ENATTENTE;false;92716
8;2020-05-09T04:54:47;2020-05-09T08:28:49;38010;12239;COMPLET;true;5601
9;2020-05-09T07:53:23;2020-05-08T22:23:33;85573;67401;CLOTURE;false;53843
10;2020-05-09T20:53:39;2020-05-09T07:46:02;51688;30379;COMPLET;true;22090
